iter	Passed	Remaining
806	2078	497
807	2082	494
808	2085	492
809	2088	489
810	2091	487
811	2093	484
812	2095	482
813	2098	479
814	2099	476
815	2103	474
816	2105	471
817	2107	468
818	2109	466
819	2112	463
820	2114	460
821	2116	458
822	2118	455
823	2120	452
824	2122	450
825	2124	447
826	2126	444
827	2144	445
828	2146	442
829	2147	439
830	2150	437
831	2151	434
832	2153	431
833	2155	429
834	2157	426
835	2159	423
836	2161	420
837	2163	418
838	2165	415
839	2167	412
840	2168	410
841	2170	407
842	2172	404
843	2174	401
844	2176	399
845	2178	396
846	2179	393
847	2181	391
848	2183	388
849	2185	385
850	2187	383
851	2190	380
852	2192	377
853	2194	375
854	2197	372
855	2199	370
856	2201	367
857	2202	364
858	2204	361
859	2206	359
860	2208	356
861	2209	353
862	2211	351
863	2213	348
864	2215	345
865	2217	343
866	2219	340
867	2221	337
868	2223	335
869	2225	332
870	2227	329
871	2229	327
872	2231	324
873	2233	321
874	2235	319
875	2236	316
876	2238	313
877	2240	311
878	2243	308
879	2244	306
880	2246	303
881	2248	300
882	2250	298
883	2253	295
884	2256	293
885	2258	290
886	2260	287
887	2263	285
888	2264	282
889	2266	280
890	2268	277
891	2269	274
892	2271	272
893	2273	269
894	2275	266
895	2277	264
896	2278	261
897	2280	259
898	2282	256
899	2284	253
900	2286	251
901	2288	248
902	2289	245
903	2291	243
904	2293	240
905	2295	238
906	2296	235
907	2299	232
908	2301	230
909	2305	228
910	2309	225
911	2311	223
912	2314	220
913	2316	217
914	2318	215
915	2320	212
916	2323	210
917	2325	207
918	2327	205
919	2329	202
920	2331	199
921	2333	197
922	2335	194
923	2336	192
924	2338	189
925	2341	187
926	2342	184
927	2344	181
928	2346	179
929	2348	176
930	2350	174
931	2352	171
932	2353	169
933	2356	166
934	2357	163
935	2359	161
936	2361	158
937	2363	156
938	2366	153
939	2368	151
940	2372	148
941	2373	146
942	2375	143
943	2377	141
944	2378	138
945	2380	135
946	2382	133
947	2383	130
948	2385	128
949	2387	125
950	2389	123
951	2391	120
952	2393	118
953	2394	115
954	2397	112
955	2398	110
956	2400	107
957	2402	105
958	2404	102
959	2406	100
960	2408	97
961	2409	95
962	2411	92
963	2413	90
964	2415	87
965	2417	85
966	2420	82
967	2422	80
968	2424	77
969	2426	75
970	2427	72
971	2429	69
972	2432	67
973	2433	64
974	2435	62
975	2437	59
976	2439	57
977	2441	54
978	2443	52
979	2445	49
980	2446	47
981	2449	44
982	2450	42
983	2452	39
984	2454	37
985	2456	34
986	2458	32
987	2460	29
988	2462	27
989	2463	24
990	2465	22
991	2467	19
992	2469	17
993	2471	14
994	2472	12
995	2474	9
996	2476	7
997	2478	4
998	2480	2
999	2482	0
